song_id,lyrics
200681,"10,000 Men Lyrics
Ten thousand men on a hill
Ten thousand men on a hill
Some of ’m going’ down, some of ’m gonna get killed

Ten thousand men dressed in Oxford blue
Ten thousand men dressed in Oxford blue
Drumming in the morning, in the evening they’ll be coming for you

Ten thousand men on the move
Ten thousand men on the move
None of them doing nothin’ that your mama wouldn’t disapprove
Ten thousand men digging for silver and gold
Ten thousand men digging for silver and gold
All clean shaven, all coming in from the cold

Hey! Who could your lover be?
Hey! Who could your lover be?
Let me eat off his head so you can really see!

Ten thousand women all dressed in white
Ten thousand women all dressed in white
Standing at my window wishing me Goodnight

Ten thousand men looking so lean and frail
Ten thousand men looking so lean and frail
Each one of ’m got seven wives, each one of ’m just out of jail

Ten thousand women all sweepin’ my room
Ten thousand women all sweepin’ my room
Spilling my buttermilk, sweeping it up with a broom

Ooh, baby, thank you for my tea!
Baby, thank you for my tea!
It’s so sweet of you to be so nice to meEmbed"
200682,"2 X 2 Lyrics
One by one, they followed the sun
One by one, until there were none
Two by two, to their lovers they flew
Two by two, into the foggy dew
Three by three, they danced on the sea
Four by four, they danced on the shore
Five by five, they tried to survive
Six by six, they were playing with tricks

How many paths did they try and fail?
How many of their brothers and sisters lingered in jail?
How much poison did they inhale?
How many black cats crossed their trail?
Seven by seven, they headed for heaven
Eight by eight, they got to the gate
Nine by nine, they drank the wine
Ten by ten, they drank it again

How many tomorrows have they given away?
How many compared to yesterday?
How many more without any reward?
How many more can they afford?

Two by two, they stepped into the ark
Two by two, they step in the dark
Three by three, they’re turning the key
Four by four, they turn it some more

One by one, they follow the sun
Two by two, to another rendezvousEmbed"
1686914,"32-20 Blues Lyrics
When I send for my baby, man, and she don't come
Send for my baby, man, and she don't come
All the doctors in Hot Springs sure ain't gonna help her none
If she gets unruly, thinks she don't want you
If she gets unruly and thinks she don't want you
Take my 32-20 now and break her half in two
She got a .38 special, but I believe it's much too light
She got a .38 special, but I believe it's much too light
I got a 32-30, makes the camp all right
If I send for my baby, man, and she don't come
Send for my baby, man, and she don't come
All the doctors in Hot Springs sure ain't gonna help her none
Gonna shoot my pistol, shoot my Gatling gun
Gonna shoot my pistol, got to shoot my Gatling gun
You made me love you, now your man has come
Aw baby, where'd you stay last night?
Aw baby, where'd you stay last night?
You got your hair all tangled and you ain't talking right
Her .38 special, boys, it do very well
Her .38 special, boys, it do very well
I got a 32-20 now it's a burning hell

If I send for my baby, man, and she don't come
Send for my baby, man, and she don't come
All the doctors in, sure ain't gonna help her none
Hey hey baby, where'd you stay last night?
Hey hey baby, where'd you stay last night?
Didn't come home till the sun was shining bright
Oh boys, I just can't take my rest
Oh boys, I just can't take my rest
With this 32-20 laying up and down my breastEmbed"
105774,"4th Time Around Lyrics
When she said
“Don’t waste your words, they’re just lies”
I cried she was deaf
And she worked on my face until breaking my eyes
And said, “What else you got left?”
Yeah, it was then that I got up to leave
But she said, “Don’t forget
Everybody must give something back
For something they get”
I stood there and hummed
I tapped on her drum I asked her ""How come?""
And she buttoned her boot
And straightened her suit
Then she said, “Don’t get cute”
So I forced my hands in my pockets
And felt with my thumbs
And gallantly handed her
My very last piece of gum

She threw me outside
I stood in the dirt where everyone walked
And after finding out I’d
Forgotten my shirt
I went back and knocked
I waited in the hallway, she went to get it
And I tried to make sense
Out of that picture of you in your wheelchair
That leaned up against

Her Jamaican rum
And when she did come, I asked her for some
She said, “No, dear”
I said, “Your words aren’t clear
You’d better spit out your gum”
She screamed 'til her face got so red
Then she fell on the floor
And I covered her up and then
Thought I’d go look through her drawer
And when I was through
I filled up my shoe
And brought it to you
And you, you took me in
You loved me then
You never wasted time
And I, I never took much
I never asked for your crutch
Now don’t ask for mine3Embed"
1994655,"900 Miles from My Home LyricsBut I'm down here on this track
Not a shirt upon my back
I will sell to you this island that I own
Yes I feed the mouths I took
But as down winds on the brook
Lord I'm 900 miles from my home
If my old lady she says so
I'll railroad no more
Sidetrack this engine but I still roam
Yes I've given in my call
I've gladly given it all
'Cause I'm 900 miles from my home
If I get down by the bank And the river still does run
Yes and everything I see turns to foam
Even down on the ocean side
No she don't wade in just to bang my pride
'Cause I'm 900 miles from my home
Oh Mary don't you moan
Don't you weep on the ground Oh Mary don't you weep and don't you moan
If I get myself in line
I will be there in due time
'Cause I'm 900 miles from my homeEmbed"
118651,"Abandoned Love Lyrics
I can see the turning of the key
I’ve been deceived by the clown inside of me
I thought that he was righteous but he’s vain
Oh, something’s a-telling me I wear the ball and chain

My patron saint is a-fighting with a ghost
He’s always off somewhere when I need him most
The Spanish moon is rising on the hill
But my heart is a-tellin’ me I love ya still
I come back to the town from the flaming moon
I see you in the streets, I begin to swoon
I love to see you dress before the mirror
Won’t you let me in your room one time ’fore I finally disappear?

Everybody’s wearing a disguise
To hide what they’ve got left behind their eyes
But me, I can’t cover what I am
Wherever the children go I’ll follow them

I march in the parade of liberty
But as long as I love you I’m not free
How long must I suffer such abuse
Won’t you let me see you smile one time before I turn you loose?

I’ve given up the game, I’ve got to leave
The pot of gold is only make-believe
The treasure can’t be found by men who search
Whose gods are dead and whose queens are in the church

We sat in an empty theater and we kissed
I asked ya please to cross me off-a your list
My head tells me it’s time to make a change
But my heart is telling me I love ya but you’re strange
One more time at midnight, near the wall
Take off your heavy makeup and your shawl
Won’t you descend from the throne, from where you sit?
Let me feel your love one more time before I abandon it4Embed"
7236491,"Abraham, Martin, and John (Rehearsal) Lyrics
Anybody here seen my old friend Abraham?
Can you tell me where he's gone?
He freed a lot of people but it seems the good they die young
You know I just looked around and he's gone

Anybody here seen my old friend John?
Can you tell me where he's gone?
He freed a lot of people but it seems the good they die young
I just looked around and he's gone
(Instrumental Bridge)

Anybody here seen my old friend Martin?
Can you tell me where he's gone?
He freed a lot of people but it seems the good they die young
I just looked around and he's gone

Didn't you love the things that they stood for?
Didn't they try to find some good for you and me?
And we'll be free
Some day soon, it's gonna be one day

Anybody here seen my old friend Bobby?
Can you tell me where he's gone?
He freed a lot of people, but it seems the good, they die young
I just looked around and he's goneEmbed"
105773,"Absolutely Sweet Marie Lyrics
Well, your railroad gate
You know I just can't jump it
Sometimes it gets so hard, you see
I just sitting here, beating on my trumpet
With all these promises you left for me
But where are you tonight, sweet Marie?

Well, I waited for you when I was half sick
Yes, I waited for you when you hated me
Well, I waited for you inside of the frozen traffic
Yeah, when you knew I had some other place to be
Now, where are you tonight, sweet Marie?
Well, anybody can be just like me, obviously
But then, now again, not too many can be like you, fortunately

Well, six white horses that you did promise
Were finally delivered down to the penitentiary
But to live outside the law, you must be honest
I know you always say that you agree
Alright, so where are you tonight, sweet Marie?

Well, I don't know how it happened
But the riverboat captain, he knows my fate
But everybody else, even yourself
They're just gonna have to wait

Well, I got the fever down in my pockets
The Persian drunkard, he follows me
Yes, I can take him to your house, but I can't unlock it
You see, you forgot to leave me with the key
Oh, where are you tonight, sweet Marie?

Well, I been in jail when all the mail showed
That a man can't give his address out to bad company
And now I stand here lookin' at your yellow railroad
In the ruins of your balcony
Wondering where you are tonight, sweet Marie1Embed"
1534549,"Acne LyricsDoo wha. doo wha
Doo doo doo wha x7 wahhhh!
S'posed to do wha? mhmm
Doo doo wha x11
Doo wha!?
You said you'd ask me
You said you'd ask me
You said you'd ask me
To the senior prom! (say somethin')
Found out i had acne
Now you won't ask me
'cuz i have acne
To the senior prom
Woooooohh!!
Doo doo doo wha x5
Doo doo doo whaaaaaa?
Mhmm
Doo wha? x3
Get me a shotgun
.22 rifle (doo wha!)
Dooo whhaa!!
I got it for my birthday
I'll kill my parents
Cuz they don't understand
They don't dig a teenager at all
Wooh!
Dooooo wha wha wha wha wha wha whaEmbed"
7236485,"A Couple More Years (Rehearsal) LyricsI've got a couple more years on you babe, and that's all
I've had more chances to fly, and more places to fall
And it ain't that I'm wiser, it's only that I've spent more time with my back to the wall
And I've picked up a couple more years on you babe, and that's all
I've walked a couple more roads than you babe and that's all
And I'm tired of runnin' while you're only learning to crawl
And you're heading somewhere, but I've been to somewhere and found it was nowhere at all
And I've picked up a couple more years on you babe, and that's all
Now saying goodbye girl, don't never come easy at all
But you've gotta fly 'cause you're hearing them young voices call
And someday when you're older you'll smile at a man strong and tall
And you'll say I've got a couple more years on you babe and that's all
You'll say I've got a couple more years on you babe, and that's all
I've had more chances to fly, and more places to fall
And it ain't that I'm wiser, it's only that I've spent more time with my back to the wall
And I've picked up a couple more years on you babe, and that's allEmbed"
